datasetID	name	link	publisher	supplier	dataset metadata
COL-49	Global Gracillariidae in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/49			
COL-50	SF Phasmida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/50			
COL-51	SF Cockroach in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/51			
COL-52	COOL in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/52			
COL-53	Nomen.eumycetozoa.com in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/53			
COL-54	Psyllist in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/54			
COL-55	LDL Neuropterida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/55			
COL-57	Brachiopoda Database in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/57			
COL-58	WoRMS Cumacea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/58			
COL-59	WoRMS Ophiuroidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/59			
COL-61	SF Aphid in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/61			
COL-62	SF Mantodea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/62			
COL-63	OlogamasidBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/63			
COL-65	SF Plecoptera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/65			
COL-66	Droseraceae Database in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/66			
COL-67	ITIS Bees in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/67			
COL-68	Taxapad Ichneumonoidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/68			
COL-69	RhodacaridBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/69			
COL-70	PhytoseiidBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/70			
COL-73	Brassicaceae in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/73			
COL-74	ELPT in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/74			
COL-75	NZIB in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/75			
COL-76	MBB in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/76			
COL-78	TenuipalpidBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/78			
COL-79	LIAS in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/79			
COL-80	BdelloideaBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/80			
COL-81	WoRMS Bryozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/81			
COL-82	SpmWeb in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/82			
COL-85	WoRMS Nemertea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/85			
COL-86	WoRMS Bochusacea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/86			
COL-87	WoRMS Brachypoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/87			
COL-88	WoRMS Mystacocarida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/88			
COL-89	SF Embioptera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/89			
COL-90	WoRMS Polychaeta in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/90			
COL-91	WoRMS Remipedia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/91			
COL-92	WoRMS Tantulocarida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/92			
COL-93	WoRMS Thermosbaenacea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/93			
COL-94	WoRMS Isopoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/94			
COL-95	WoRMS Asteroidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/95			
COL-96	MOWD in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/96			
COL-97	Saccharomycetes in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/97			
COL-98	Dothideomycetes in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/98			
COL-99	WoRMS Oligochaeta in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/99			
COL-100	WoRMS Xenoturbellida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/100			
COL-101	Systema Dipterorum in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/101			
COL-103	Strepsiptera Database in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/103			
COL-104	Phoronida Database in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/104			
COL-105	WoRMS Leptostraca in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/105			
COL-106	WoRMS Echinoidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/106			
COL-107	WoRMS Holothuroidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/107			
COL-108	WoRMS Brachyura in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/108			
COL-109	WoRMS Polycystina in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/109			
