parent,child
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Altai_steppe_and_semi-desert
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Central_Anatolian_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Daurian_forest_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Emin_Valley_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Kazakh_forest_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Kazakh_upland
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Mongolian-Manchurian_grassland
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Sayan_Intermontane_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Selenge-Orkhon_forest_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/South_Siberian_forest_steppe
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Faroe_Islands_boreal_grasslands
http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands,http://eol.org/schema/terms/Elburz_Range_forest_steppe
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Northern_Anatolian_conifer_and_deciduous_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Tian_Shan_montane_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/East_Afghan_montane_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Hengduan_Mountains_subalpine_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Northeastern_Himalayan_subalpine_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Nujiang_Langcang_Gorge_alpine_conifer_and_mixed_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Qionglai-Minshan_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Honshu_alpine_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Mediterranean_conifer_and_mixed_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Alps_conifer_and_mixed_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Altai_montane_forest_and_forest_steppe
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Caledon_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Carpathian_montane_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Da_Hinggan-Dzhagdy_Mountains_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Hokkaido_montane_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Khangai_Mountains_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Qilian_Mountains_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Sayan_montane_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Scandinavian_coastal_conifer_forests
http://eol.org/schema/terms/temperate_coniferous_forest,http://eol.org/schema/terms/Helanshan_montane_conifer_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Caspian_Hyrcanian_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Caucasus_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Zagros_Mountains_forest_steppe
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Eastern_Anatolian_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Balkan_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Central_Anatolian_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Euxine-Colchic_broadleaf_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Pannonian_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Changjiang_Plain_evergreen_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Daba_Mountains_evergreen_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Qin_Ling_Mountains_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Sichuan_Basin_evergreen_broadleaf_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Nihonkai_montane_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Northeast_China_Plain_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Taiheiyo_evergreen_forests
